Id;R;Rm;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au;Qt.A;Affidabilita;Gf_per_90;Ass_per_90;Gs_per_90;Disciplina;Au_per_90;Indice_Rigorista
140;D;"Dd;Ds;E";Hysaj;Lazio;8;5,88;6,12;0;0;0;0;0;0;3;0;1;0;5;0.21052631578947367;0.0;0.375;0.0;-0.375;0.0;0.0
4502;D;"Ds;E";Gallo;Lecce;31;5,79;5,65;0;0;0;0;0;0;2;3;1;2;5;0.8157894736842105;0.0;0.06451612903225806;0.0;-0.14516129032258066;0.06451612903225806;0.0
4657;D;"Dd;E";Celik;Roma;30;5,78;5,77;0;0;0;0;0;0;2;5;0;0;5;0.7894736842105263;0.0;0.06666666666666667;0.0;-0.08333333333333333;0.0;0.0
6211;D;"Ds;E";Zemura;Udinese;21;5,81;6;1;0;0;0;0;0;2;2;0;0;5;0.5526315789473685;0.047619047619047616;0.09523809523809523;0.0;-0.047619047619047616;0.0;0.0
2181;D;Dc;Palomino;Cagliari;17;5,76;5,85;1;0;0;0;0;0;0;3;0;0;5;0.4473684210526316;0.058823529411764705;0.0;0.0;-0.08823529411764706;0.0;0.0
5626;D;"B;Dd;Ds";Guilbert;Lecce;31;5,79;5,71;0;0;0;0;0;0;1;3;2;0;5;0.8157894736842105;0.0;0.03225806451612903;0.0;-0.24193548387096775;0.0;0.0
6892;D;"Dd;Dc";Schingtienne;Venezia;15;5,7;5,63;0;0;0;0;0;0;0;2;0;0;5;0.39473684210526316;0.0;0.0;0.0;-0.06666666666666667;0.0;0.0
5578;D;"Dd;Dc";Kossounou;Atalanta;17;5,94;5,91;0;0;0;0;0;0;0;1;0;0;5;0.4473684210526316;0.0;0.0;0.0;-0.029411764705882353;0.0;0.0
6896;D;"Dd;E";Van Der Brempt;Como;18;5,94;5,92;0;0;0;0;0;0;1;3;0;0;5;0.47368421052631576;0.0;0.05555555555555555;0.0;-0.08333333333333333;0.0;0.0
6975;D;"Dd;E";Alberto Costa;Juventus;8;6;5,81;0;0;0;0;0;0;0;3;0;0;5;0.21052631578947367;0.0;0.0;0.0;-0.1875;0.0;0.0
6986;D;"B;Dd;E";Rensch;Roma;8;6,06;6,19;0;0;0;0;0;0;1;0;0;0;5;0.21052631578947367;0.0;0.125;0.0;-0.0;0.0;0.0
6990;D;"Dd;E";Veiga D.;Lecce;11;5,73;5,73;0;0;0;0;0;0;0;0;0;0;5;0.2894736842105263;0.0;0.0;0.0;-0.0;0.0;0.0
6867;D;"Ds;E";Valle;Como;13;5,81;5,73;0;0;0;0;0;0;0;2;0;0;5;0.34210526315789475;0.0;0.0;0.0;-0.07692307692307693;0.0;0.0
6230;D;Dc;Dossena;Como;23;5,8;5,85;0;0;0;0;0;0;2;0;1;0;4;0.6052631578947368;0.0;0.08695652173913043;0.0;-0.13043478260869565;0.0;0.0
4374;D;Dc;Walukiewicz;Torino;28;5,73;5,64;0;0;0;0;0;0;0;6;0;0;4;0.7368421052631579;0.0;0.0;0.0;-0.10714285714285714;0.0;0.0
5480;D;"Dd;E";Ebuehi;Empoli;3;6,17;6,17;0;0;0;0;0;0;0;0;0;0;4;0.07894736842105263;0.0;0.0;0.0;-0.0;0.0;0.0
